DUMPER,STATUS,TYPE,LOCAL
CN-01,Y,D13,
CN-02,Y,D13,
CN-03,Y,D13,
CN-04,N,D03,
CN-05,Y,D13,
CN-06,Y,D13,
CN-07,Y,D13,
CN-08,Y,D13,
CN-09,Y,D13,
CN-10,Y,D13,
CN-11,Y,D13,
CN-12,N,D03,
CN-13,N,D03,
CN-14,N,D03,
CN-15,N,D03,
CN-16,N,D03,
CN-17,N,D03,
CN-18,N,D03,
CN-19,N,D03,
CN-20,N,D03,
CN-21,N,D03,
CN-22,N,D03,
CN-23,N,D03,
CN-24,N,D03,
CN-25,N,D03,
CN-26,N,D03,
CN-27,N,D03,
CN-28,N,D03,
CN-29,N,D03,
CN-30,N,D03,
CN-31,N,D03,
CN-32,N,D03,
CN-33,N,D03,
CN-34,N,D03,
CN-35,N,D03,
CN-36,N,D03,
C-33,Y,D14,
C-34,N,D04,
C-35,Y,D14,
C-38,N,D04,
C-40,N,D04,
C-41,N,D04,
C-42,N,D04,
C-43,N,D04,
C-44,Y,D14,
K-171,N,D04,
TX-201,Y,D12,
TX-202,Y,D12,
TX-203,Y,D12,
TX-204,Y,D12,
TX-205,Y,D12,
TX-206,Y,D12,
TX-207,Y,D12,
TX-208,Y,D12,
TX-209,Y,D12,
TX-210,Y,D12,
TX-211,Y,D12,
TX-212,Y,D12,
TX-213,Y,D12,
TX-214,Y,D12,
TX-215,Y,D12,
TX-216,Y,D12,
TX-217,Y,D12,
TX-218,Y,D12,
TX-219,N,D02,
TX-220,N,D02,
TX-221,N,D02,
TX-222,Y,D12,
TX-223,Y,D12,
TX-224,N,D02,
TX-225,Y,D12,
TX-226,Y,D12,
TX-227,Y,D12,
TX-228,N,D02,
TX-229,Y,D12,
TX-230,Y,D12,
TX-231,Y,D12,
TX-232,N,D02,
TX-233,Y,D12,
TX-234,Y,D12,
TX-235,Y,D12,
TX-236,Y,D12,
TX-237,Y,D12,
TX-238,Y,D12,
KM-01,Y,D13,
KM-02,N,D03,
KM-03,Y,D13,
KM-04,Y,D13,
KM-05,N,D03,
KM-06,N,D03,
KM-07,N,D03,
KM-08,N,D03,
KM-09,N,D03,
KM-10,N,D03,
KM-11,N,D03,
KM-12,N,D03,
KM-13,N,D03,
